Address,Latitude,Longtitude
1,10.86894,106.76946
2,10.77854,106.62708
3,10.76594,106.67059
4,10.77568,106.68358
5,10.79595,106.69534
6,10.81083,106.70709
7,10.70730,106.72807
8,10.81425,106.68994
9,10.77306,106.69179
10,10.80779,106.69468
11,10.77930,106.69114
12,10.83240,106.68354
13,10.75904,106.66495
14,10.85025,106.76787
15,10.72989,106.72447
16,10.78116,106.69363
17,10.75736,106.61941
18,10.80473,106.68766
19,10.80131,106.62012
20,10.77884,106.76435
