generation,fitness
0,605.8599999999998
1,600.22
2,579.6
3,574.6700000000001
4,574.6700000000001
5,562.1600000000001
6,562.1600000000001
7,558.78
8,558.78
9,558.78
10,558.78
11,558.78
12,548.4
13,548.4
14,548.4
15,542.29
16,542.29
17,542.29
18,536.88
19,536.88
20,536.88
21,531.24
22,531.24
23,531.24
24,531.24
25,531.24
26,531.24
27,531.24
28,531.24
29,531.24
30,531.24
31,531.24
32,531.24
33,531.24
34,531.24
35,531.24
36,531.24
37,531.24
38,531.24
39,531.24
40,531.24
41,531.24
42,531.24
43,531.24
44,531.24
45,531.24
46,531.24
47,531.24
48,531.24
49,531.24
50,531.24
51,531.24
52,531.24
53,531.24
54,531.24
55,531.24
56,531.24
57,531.24
58,531.24
59,531.24
60,531.24
61,531.24
62,531.24
63,531.24
64,531.24
65,531.24
66,531.24
67,531.24
68,531.24
69,531.24
70,531.24
71,531.24
72,531.24
73,531.24
74,531.24
75,531.24
76,531.24
77,531.24
78,531.24
79,531.24
80,531.24
81,531.24
82,531.24
83,531.24
84,531.24
85,531.24
86,531.24
87,531.24
88,531.24
89,531.24
90,531.24
91,531.24
92,531.24
93,531.24
94,531.24
95,531.24
96,531.24
97,531.24
98,531.24
99,531.24
100,531.24
101,531.24
102,531.24
103,531.24
104,531.24
105,531.24
106,531.24
107,531.24
108,531.24
109,531.24
110,531.24
111,531.24
112,531.24
113,531.24
114,531.24
115,531.24
116,531.24
117,531.24
118,531.24
119,531.24
120,531.24
121,531.24
122,531.24
123,531.24
124,531.24
125,531.24
126,531.24
127,531.24
128,531.24
129,531.24
130,531.24
131,531.24
132,531.24
133,531.24
134,531.24
135,531.24
136,531.24
137,531.24
138,531.24
139,531.24
140,531.24
141,531.24
142,531.24
143,531.24
144,531.24
145,531.24
146,531.24
147,531.24
148,531.24
149,531.24
150,531.24
151,531.24
152,531.24
153,531.24
154,531.24
155,531.24
156,531.24
157,531.24
158,531.24
159,531.24
160,531.24
161,531.24
162,531.24
163,531.24
164,531.24
165,531.24
166,531.24
167,531.24
168,531.24
169,531.24
170,531.24
171,531.24
172,531.24
173,531.24
174,531.24
175,531.24
176,531.24
177,531.24
178,531.24
179,531.24
180,531.24
181,531.24
182,531.24
183,531.24
184,531.24
185,531.24
186,531.24
187,531.24
188,531.24
189,531.24
190,531.24
191,531.24
192,531.24
193,531.24
194,531.24
195,531.24
196,531.24
197,531.24
198,531.24
199,531.24
200,531.24
201,531.24
202,531.24
203,531.24
204,531.24
205,531.24
206,531.24
207,531.24
208,531.24
209,531.24
210,531.24
211,531.24
212,531.24
213,531.24
214,531.24
215,531.24
216,531.24
217,531.24
218,531.24
219,531.24
220,531.24
221,531.24
222,531.24
223,531.24
224,531.24
225,531.24
226,531.24
227,531.24
228,531.24
229,531.24
230,531.24
231,531.24
232,531.24
233,531.24
234,531.24
235,531.24
236,531.24
237,531.24
238,531.24
239,531.24
240,531.24
241,531.24
242,531.24
243,531.24
244,531.24
245,531.24
246,531.24
247,531.24
248,531.24
249,531.24
250,531.24
251,531.24
252,531.24
253,531.24
254,531.24
255,531.24
256,531.24
257,531.24
258,531.24
259,531.24
260,531.24
261,531.24
262,531.24
263,531.24
264,531.24
265,531.24
266,531.24
267,531.24
268,531.24
269,531.24
270,531.24
271,531.24
272,531.24
273,531.24
274,531.24
275,531.24
276,531.24
277,531.24
278,531.24
279,531.24
280,531.24
281,531.24
282,531.24
283,531.24
284,531.24
285,531.24
286,531.24
287,531.24
288,531.24
289,531.24
290,531.24
291,531.24
292,531.24
293,531.24
294,531.24
295,531.24
296,531.24
297,531.24
298,531.24
299,531.24
