m,total_distance,fitness,balance_metric,exec_time,memory_current_MB,memory_peak_MB,converged_gen,convergence_speed
1,718.2199999999998,718.2199999999998,0.0,42.4063196182251,1.083302,1.860137,18,49.29722222222222
2,888.0599999999998,444.6099999999999,1.1599999999999682,60.662909269332886,0.845809,1.499802,10,40.89700000000003
3,1071.3,357.25999999999993,0.3599999999998431,65.67533469200134,1.005437,1.691543,22,11.510000000000003
