generation,fitness
0,853.5800000000002
1,833.54
2,831.3700000000001
3,797.7100000000002
4,797.7100000000002
5,756.1099999999998
6,756.1099999999998
7,756.1099999999998
8,756.1099999999998
9,756.1099999999998
10,756.1099999999998
11,756.1099999999998
12,733.5400000000001
13,733.5400000000001
14,723.5700000000003
15,723.5700000000003
16,723.5700000000003
17,713.8499999999998
18,708.81
19,703.3499999999998
20,686.57
21,686.57
22,686.57
23,676.9399999999997
24,676.9399999999997
25,676.9399999999997
26,676.9399999999997
27,676.9399999999997
28,669.5699999999999
29,669.5699999999999
30,663.8800000000001
31,655.7599999999999
32,655.7599999999999
33,655.7599999999999
34,655.7599999999999
35,655.7599999999999
36,655.7599999999999
37,655.7599999999999
38,647.97
39,647.97
40,645.63
41,645.63
42,645.63
43,645.63
44,645.63
45,645.63
46,645.2099999999999
47,645.2099999999999
48,645.2099999999999
49,624.5200000000002
50,624.5200000000002
51,624.5200000000002
52,624.5200000000002
53,624.5200000000002
54,624.5200000000002
55,624.5200000000002
56,623.65
57,623.65
58,623.65
59,623.65
60,623.65
61,620.06
62,613.9600000000002
63,613.9600000000002
64,613.9600000000002
65,613.9600000000002
66,613.9600000000002
67,613.9600000000002
68,613.9600000000002
69,613.9600000000002
70,613.9600000000002
71,613.9600000000002
72,612.97
73,612.97
74,611.75
75,609.3100000000002
76,609.3100000000002
77,609.3100000000002
78,609.3100000000002
79,605.96
80,605.96
81,605.96
82,601.8199999999999
83,601.8199999999999
84,601.8199999999999
85,601.8199999999999
86,601.8199999999999
87,601.8199999999999
88,601.8199999999999
89,601.8199999999999
90,598.1100000000001
91,598.1100000000001
92,598.1100000000001
93,598.1100000000001
94,598.1100000000001
95,598.1100000000001
96,582.7700000000002
97,582.7700000000002
98,582.7700000000002
99,582.7700000000002
100,582.7700000000002
101,582.7700000000002
102,580.7900000000002
103,580.7900000000002
104,577.9800000000001
105,577.9800000000001
106,577.9800000000001
107,577.9800000000001
108,575.12
109,575.12
110,575.12
111,575.12
112,575.12
113,575.12
114,575.12
115,572.38
116,572.38
117,572.38
118,572.38
119,568.02
120,568.02
121,568.02
122,568.02
123,568.02
124,568.02
125,565.0799999999999
126,559.5900000000001
127,559.5900000000001
128,559.5600000000001
129,559.5600000000001
130,559.5600000000001
131,559.5600000000001
132,559.5600000000001
133,556.02
134,556.02
135,556.02
136,556.02
137,553.04
138,553.04
139,553.04
140,553.04
141,553.04
142,553.04
143,553.04
144,553.04
145,553.04
146,553.04
147,553.04
148,552.55
149,551.54
150,551.3700000000001
151,547.12
152,547.12
153,547.12
154,547.12
155,533.63
156,533.63
157,533.63
158,533.63
159,533.63
160,533.63
161,533.63
162,533.63
163,533.36
164,531.5500000000001
165,531.5500000000001
166,531.5500000000001
167,531.5500000000001
168,531.5500000000001
169,531.5500000000001
170,531.5500000000001
171,531.5500000000001
172,527.6200000000001
173,527.6200000000001
174,527.6200000000001
175,527.6200000000001
176,526.72
177,526.72
178,526.0000000000001
179,525.3600000000001
180,525.3600000000001
181,523.8900000000001
182,523.7500000000001
183,523.7500000000001
184,523.11
185,523.11
186,523.11
187,522.09
188,521.2900000000001
189,520.8000000000001
190,514.58
191,514.58
192,513.45
193,511.1300000000001
194,511.1300000000001
195,509.4900000000002
196,509.4900000000002
197,504.17000000000013
198,504.17000000000013
199,504.17000000000013
200,504.17000000000013
201,504.17000000000013
202,504.17000000000013
203,503.23
204,503.23
205,503.23
206,503.23
207,502.93
208,502.93
209,502.5
210,501.5200000000001
211,496.87000000000006
212,496.87000000000006
213,496.87000000000006
214,496.87000000000006
215,494.64000000000004
216,494.64000000000004
217,494.64000000000004
218,494.08000000000004
219,494.08000000000004
220,492.78999999999996
221,490.9300000000001
222,490.8400000000001
223,485.28
224,485.28
225,484.3099999999999
226,484.3099999999999
227,484.3099999999999
228,484.3099999999999
229,484.3099999999999
230,482.0599999999999
231,481.98
232,479.83000000000004
233,479.83000000000004
234,479.83000000000004
235,479.83000000000004
236,479.83000000000004
237,479.83000000000004
238,479.40000000000003
239,478.03000000000014
240,478.03000000000014
241,478.03000000000014
242,475.2499999999999
243,475.2499999999999
244,475.2499999999999
245,474.53999999999996
246,474.53999999999996
247,474.53999999999996
248,474.53999999999996
249,469.64000000000004
250,469.64000000000004
251,469.64000000000004
252,469.64000000000004
253,466.51
254,466.51
255,466.51
256,466.51
257,466.0799999999999
258,462.3299999999999
259,461.9
260,461.9
261,459.0999999999999
262,459.0999999999999
263,458.60999999999996
264,456.42999999999995
265,456.42999999999995
266,456.42999999999995
267,456.42999999999995
268,455.18999999999994
269,454.8999999999999
270,454.8999999999999
271,454.8999999999999
272,453.9699999999999
273,453.9699999999999
274,453.9699999999999
275,453.9699999999999
276,453.9699999999999
277,453.14
278,453.14
279,451.99999999999994
280,451.06999999999994
281,451.06999999999994
282,451.06999999999994
283,451.06999999999994
284,449.88
285,449.88
286,449.88
287,449.88
288,449.88
289,448.10999999999996
290,448.10999999999996
291,448.10999999999996
292,448.10999999999996
293,447.91999999999996
294,445.7899999999999
295,445.7899999999999
296,445.7899999999999
297,444.6099999999999
298,444.6099999999999
299,444.6099999999999
