m,total_distance,fitness,balance_metric,exec_time,memory_current_MB,memory_peak_MB,converged_gen,convergence_speed
1,779.5700000000003,779.5700000000003,0.0,108.6607494354248,1.175217,1.834546,49,16.857142857142847
2,1195.6000000000004,598.9399999999999,2.2799999999996317,123.95886135101318,1.002996,1.667389,28,8.735357142857143
3,1325.2599999999998,446.63999999999993,5.650000000000091,108.40178227424622,0.904184,1.617356,25,5.950000000000002
